id,name,category,brand,color,price,description
1,Nike Air Max,Shoes,Nike,Black,4999,Comfortable running shoes
2,Adidas Ultraboost,Shoes,Adidas,White,5999,Premium sports shoes
3,Puma Sneakers,Shoes,Puma,Blue,3499,Casual sneakers
4,Levis Jeans,Clothing,Levis,Blue,2499,Slim fit jeans
5,Roadster T Shirt,Clothing,Roadster,Black,999,Cotton t shirt
6,Apple iPhone 15,Mobile,Apple,Black,79999,Latest Apple smartphone
7,Samsung Galaxy S25,Mobile,Samsung,Silver,74999,Flagship Android phone
8,Sony Headphones,Electronics,Sony,Black,3999,Noise cancelling headphones
9,HP Laptop,Electronics,HP,Silver,64999,15 inch laptop
10,Boat Smartwatch,Wearables,Boat,Black,2999,Fitness smartwatch
